table_name,column_name,missing_count,missing_ratio
customers,customer_id,0,0.0
customers,customer_unique_id,0,0.0
customers,customer_zip_code_prefix,0,0.0
customers,customer_city,0,0.0
customers,customer_state,0,0.0
orders,order_id,0,0.0
orders,customer_id,0,0.0
orders,order_status,0,0.0
orders,order_purchase_timestamp,0,0.0
orders,order_approved_at,160,0.0016089942780140988
orders,order_delivered_carrier_date,1783,0.017930229985619613
orders,order_delivered_customer_date,2965,0.02981667521444877
orders,order_estimated_delivery_date,0,0.0
order_items,order_id,0,0.0
order_items,order_item_id,0,0.0
order_items,product_id,0,0.0
order_items,seller_id,0,0.0
order_items,shipping_limit_date,0,0.0
order_items,price,0,0.0
order_items,freight_value,0,0.0
products,product_id,0,0.0
products,product_category_name,610,0.018512336499651
products,product_name_lenght,610,0.018512336499651
products,product_description_lenght,610,0.018512336499651
products,product_photos_qty,610,0.018512336499651
products,product_weight_g,2,6.069618524475737e-05
products,product_length_cm,2,6.069618524475737e-05
products,product_height_cm,2,6.069618524475737e-05
products,product_width_cm,2,6.069618524475737e-05
sellers,seller_id,0,0.0
sellers,seller_zip_code_prefix,0,0.0
sellers,seller_city,0,0.0
sellers,seller_state,0,0.0
